runID,stimulus,rxnTime,sessionNum,LED,target,RH,LH,RM,LM,NG,Spout_1,Spout_2,latency
8.0,2.828427,773.0,1.0,False,0.0,False,True,False,False,False,0.0,0.0,141.0
9.0,2.828427,824.0,1.0,False,0.0,False,True,False,False,False,0.0,0.0,165.0
9.0,2.0,772.0,1.0,False,0.0,False,True,False,False,False,0.0,0.0,136.0
9.0,2.0,955.0,1.0,False,0.0,False,True,False,False,False,0.0,0.0,228.0
9.0,2.828427,1370.0,1.0,False,0.0,False,True,False,False,False,0.0,0.0,438.0
9.0,2.828427,1641.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,579.0
9.0,2.0,1120.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,324.0
9.0,2.0,767.0,1.0,False,0.0,False,True,False,False,False,0.32,0.22666666666666666,52.0
9.0,2.828427,1399.0,1.0,False,0.0,False,True,False,False,False,0.0,0.0,451.0
9.0,2.828427,1186.0,1.0,False,0.0,False,True,False,False,False,0.06666666666666667,0.0,0.0
9.0,2.0,-1.0,1.0,False,0.0,False,False,False,False,False,0.0,0.0,
10.0,2.0,968.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,263.0
10.0,2.828427,713.0,1.0,False,0.0,False,False,False,True,False,0.56,0.2,5.0
10.0,22.627417,752.0,1.0,False,1.0,False,False,True,False,False,0.0,0.0,305.0
10.0,32.0,813.0,1.0,False,1.0,False,False,True,False,False,0.0,0.0,304.0
10.0,2.828427,-1.0,1.0,False,0.0,False,False,False,False,True,0.0,0.0,
10.0,22.627417,704.0,1.0,False,1.0,True,False,False,False,False,0.0,0.17333333333333334,0.0
10.0,32.0,1737.0,1.0,False,1.0,True,False,False,False,False,0.0,0.0,623.0
10.0,2.0,739.0,1.0,False,0.0,False,True,False,False,False,0.0,0.0,121.0
10.0,2.828427,717.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,932.0
10.0,2.0,1062.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,397.0
10.0,22.627417,785.0,1.0,False,1.0,True,False,False,False,False,0.0,0.6,0.0
10.0,32.0,808.0,1.0,False,1.0,True,False,False,False,False,0.0,0.0,154.0
10.0,2.0,1057.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,403.0
10.0,22.627417,817.0,1.0,False,1.0,True,False,False,False,False,0.0,0.0,159.0
10.0,2.828427,761.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,133.0
10.0,32.0,724.0,1.0,False,1.0,False,False,True,False,False,0.0,0.24,59.0
10.0,22.627417,837.0,1.0,False,1.0,True,False,False,False,False,0.0,0.0,172.0
10.0,2.828427,721.0,1.0,False,0.0,False,False,False,True,False,0.17333333333333334,0.6133333333333333,0.0
11.0,2.0,723.0,1.0,False,0.0,False,True,False,False,False,0.36,0.0,0.0
11.0,2.828427,830.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,166.0
11.0,2.0,774.0,1.0,False,0.0,False,False,False,True,False,0.0,0.4533333333333333,38.0
11.0,2.828427,854.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,398.0
11.0,2.828427,874.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,358.0
11.0,2.0,1019.0,1.0,False,0.0,False,True,False,False,False,0.0,0.0,260.0
11.0,2.0,711.0,1.0,False,0.0,False,True,False,False,False,0.08,0.02666666666666667,0.0
11.0,2.828427,698.0,1.0,False,0.0,False,True,False,False,False,0.0,0.0,99.0
11.0,2.828427,1077.0,1.0,False,0.0,False,True,False,False,False,0.0,0.0,290.0
11.0,2.0,775.0,1.0,False,0.0,False,True,False,False,False,0.0,0.0,141.0
11.0,2.828427,827.0,1.0,False,0.0,False,True,False,False,False,0.0,0.0,167.0
11.0,2.0,801.0,1.0,False,0.0,False,True,False,False,False,0.04,0.06666666666666667,74.0
11.0,2.0,817.0,1.0,False,0.0,False,True,False,False,False,0.0,0.0,159.0
12.0,2.0,832.0,1.0,False,0.0,False,True,False,False,False,0.29333333333333333,0.0,0.0
12.0,32.0,756.0,1.0,False,1.0,False,False,True,False,False,0.0,0.0,158.0
12.0,2.828427,797.0,1.0,False,0.0,False,True,False,False,False,0.0,0.0,149.0
12.0,22.627417,843.0,1.0,False,1.0,False,False,True,False,False,0.0,0.0,545.0
12.0,22.627417,743.0,1.0,False,1.0,False,False,True,False,False,0.0,0.32,0.0
12.0,2.828427,1061.0,1.0,False,0.0,False,True,False,False,False,0.0,0.0,282.0
12.0,32.0,746.0,1.0,False,1.0,False,False,True,False,False,0.56,0.0,35.0
12.0,2.0,891.0,1.0,False,0.0,False,True,False,False,False,0.0,0.0,199.0
12.0,2.828427,869.0,1.0,False,0.0,False,True,False,False,False,0.0,0.0,184.0
12.0,32.0,847.0,1.0,False,1.0,False,False,True,False,False,0.0,0.0,177.0
13.0,22.627417,725.0,1.0,False,1.0,False,False,True,False,False,0.0,0.30666666666666664,10.0
13.0,32.0,709.0,1.0,False,1.0,False,False,True,False,False,0.0,0.0,341.0
13.0,22.627417,765.0,1.0,False,1.0,False,False,True,False,False,0.0,0.0,171.0
13.0,32.0,852.0,1.0,False,1.0,False,False,True,False,False,0.0,0.0,499.0
13.0,32.0,1056.0,1.0,False,1.0,False,False,True,False,False,0.0,0.0,413.0
13.0,22.627417,812.0,1.0,False,1.0,False,False,True,False,False,0.0,0.0,159.0
13.0,22.627417,766.0,1.0,False,1.0,False,False,True,False,False,0.0,0.0,547.0
13.0,32.0,899.0,1.0,False,1.0,True,False,False,False,False,0.0,0.0,199.0
13.0,32.0,898.0,1.0,False,1.0,False,False,True,False,False,0.0,0.0,360.0
13.0,22.627417,1077.0,1.0,False,1.0,False,False,True,False,False,0.0,0.0,499.0
13.0,22.627417,705.0,1.0,False,1.0,False,False,True,False,False,0.0,0.0,106.0
13.0,32.0,795.0,1.0,False,1.0,False,False,True,False,False,0.0,0.04,74.0
13.0,22.627417,1109.0,1.0,False,1.0,False,False,True,False,False,0.0,0.0,485.0
13.0,32.0,791.0,1.0,False,1.0,True,False,False,False,False,0.0,0.0,148.0
13.0,32.0,1403.0,1.0,False,1.0,True,False,False,False,False,0.37333333333333335,0.3333333333333333,52.0
13.0,22.627417,775.0,1.0,False,1.0,True,False,False,False,False,0.0,0.0,139.0
13.0,22.627417,783.0,1.0,False,1.0,True,False,False,False,False,0.0,0.0,145.0
13.0,32.0,778.0,1.0,False,1.0,False,False,True,False,False,0.0,0.0,143.0
13.0,32.0,819.0,1.0,False,1.0,True,False,False,False,False,0.0,0.16,0.0
13.0,22.627417,699.0,1.0,False,1.0,True,False,False,False,False,0.0,0.52,16.0
14.0,32.0,840.0,1.0,False,1.0,True,False,False,False,False,0.0,0.0,172.0
14.0,22.627417,846.0,1.0,False,1.0,True,False,False,False,False,0.0,0.0,174.0
14.0,32.0,695.0,1.0,False,1.0,False,False,True,False,False,0.0,0.0,118.0
14.0,22.627417,757.0,1.0,False,1.0,True,False,False,False,False,0.0,0.0,133.0
14.0,32.0,829.0,1.0,False,1.0,True,False,False,False,False,0.0,0.4266666666666667,5.0
14.0,22.627417,835.0,1.0,False,1.0,True,False,False,False,False,0.0,0.05333333333333334,73.0
15.0,32.0,739.0,1.0,False,1.0,False,False,True,False,False,0.2,0.4266666666666667,0.0
