runID,stimulus,rxnTime,sessionNum,LED,target,earlyRxn,RH,LH,RM,LM,NG,earlyLick_0,earlyLick_1,earlyLick_2,earlyLick_3,earlyLick_4,latency
12.0,32.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,True,0.0,0.0,0.0,0.0,1.0,
12.0,2.0,856.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,856.0
12.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,True,0.0,0.0,0.0,0.0,1.0,
12.0,32.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,True,0.0,0.0,0.0,0.0,1.0,
12.0,32.0,788.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,788.0
12.0,2.0,822.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,822.0
12.0,2.0,204.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,204.0
12.0,32.0,755.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,755.0
12.0,2.0,867.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,867.0
12.0,32.0,725.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,725.0
13.0,32.0,719.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,719.0
13.0,2.0,535.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,535.0
13.0,32.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,True,0.0,0.0,0.0,0.0,1.0,
13.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,True,0.0,0.0,0.0,0.0,1.0,
13.0,2.0,910.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,910.0
13.0,32.0,793.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,793.0
13.0,32.0,740.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,740.0
13.0,2.0,926.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,926.0
13.0,32.0,749.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,749.0
13.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,True,0.0,0.0,0.0,0.0,1.0,
13.0,32.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,True,0.0,0.0,0.0,0.0,1.0,
13.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,True,0.0,0.0,0.0,0.0,1.0,
13.0,2.0,1061.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,1061.0
13.0,32.0,987.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,987.0
13.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,True,0.0,0.0,0.0,0.0,1.0,
13.0,32.0,951.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,951.0
13.0,32.0,870.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,870.0
13.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,True,0.0,0.0,0.0,0.0,1.0,
13.0,32.0,887.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,887.0
13.0,2.0,854.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,854.0
